"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\forum-pages\post\post.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\forum-pages\post\post.component.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 0, 24, 118
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\add-game\add-game.component.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\add-game\add-game.component.html", "HTML", 0, 0, 0, 0, 0, 0, 10, 0, 22, 3, 35
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\add-game\add-game.component.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 1, 8, 57
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\game-filters-creators\game-filters-creators.component.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\game-filters-creators\game-filters-creators.component.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\game-filters-creators\game-filters-creators.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\game-filters-creators\game-filters-creators.component.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\game\game.component.css", "CSS", 0, 0, 0, 0, 212, 0, 0, 0, 0, 42, 254
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\game\game.component.html", "HTML", 0, 0, 0, 0, 0, 0, 130, 0, 0, 41, 171
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\game\game.component.ts", "TypeScript", 0, 0, 0, 124, 0, 0, 0, 0, 0, 33, 157
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\game-pages\games\games.component.css", "CSS", 0, 0, 0, 0, 141, 0, 0, 0, 1, 32, 174
